RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
25,2022,6.0,7.0,-1,7.979,AMETISTA,5.0,6.9,8.3,8.3,8.8,,9.667,9.2,3.8,7.7,SIM,SIM,A,FEMININO,2021,ESCOLA PUBLICA,2005,-1.0,17,0.0
25,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
25,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
26,2022,6.0,7.0,-1,8.677,TOPAZIO,5.0,8.0,8.8,9.6,10.0,,10.0,9.5,4.4,10.0,SIM,SIM,A,MASCULINO,2022,ESCOLA PUBLICA,2005,-1.0,17,1.0
26,2023,7.0,8.0,-1,,,5.0,,,0.0,7.52,,,,,,,,7E,MASCULINO,2022,PRIVADA PARCERIAS COM BOLSA 100,2005,-1.0,18,0.0
26,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8F,MASCULINO,2022,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
27,2022,6.0,7.0,-1,7.124,AMETISTA,5.0,8.0,7.6,0.0,8.1,,9.111,7.7,6.3,10.0,NAO,SIM,A,MASCULINO,2016,REDE DECISAO,2005,-1.0,17,0.0
27,2023,7.0,7.0,0,7.921266667,AMETISTA,10.0,6.9,7.7,6.7,6.89,8.625,8.8825,7.0,5.8,8.0,,,7A,MASCULINO,2016,PRIVADA PROGRAMA DE APADRINHAMENTO,2006,0.0,17,0.0
27,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8F,MASCULINO,2021,PRIVADA PARCERIAS COM BOLSA 100,2006,0.0,18,
28,2022,6.0,7.0,-1,6.242,AGATA,5.0,5.0,6.1,7.9,7.5,,6.333,8.2,1.5,5.3,NAO,NAO,A,FEMININO,2019,ESCOLA PUBLICA,2005,-1.0,17,
29,2022,6.0,7.0,-1,4.985,QUARTZO,5.0,3.7,4.0,0.0,8.8,,7.611,6.3,1.1,3.8,SIM,NAO,A,MASCULINO,2022,ESCOLA PUBLICA,2005,-1.0,17,0.0
29,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,MASCULINO,2022,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
29,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,MASCULINO,2022,PRIVADA PAGAMENTO POR EMPRESA PARCEIRA,2005,0.0,19,
30,2022,6.0,6.0,0,7.605,AMETISTA,10.0,7.5,6.4,8.8,7.5,,7.333,8.5,4.4,9.7,NAO,NAO,A,FEMININO,2021,ESCOLA PUBLICA,2006,0.0,16,
31,2022,6.0,7.0,-1,8.843,TOPAZIO,5.0,8.0,9.5,10.0,9.4,,10.0,9.0,5.7,9.3,NAO,SIM,A,FEMININO,2019,REDE DECISAO,2005,-1.0,17,0.0
31,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2019,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
31,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
32,2022,6.0,6.0,0,7.37,AMETISTA,10.0,6.1,5.2,8.8,8.8,,7.944,5.7,3.6,8.9,NAO,NAO,A,FEMININO,2018,REDE DECISAO,2006,0.0,16,0.0
32,2023,7.0,7.0,0,6.716666667,AGATA,10.0,7.9,8.2,0.0,3.77,7.375,6.8775,9.0,5.8,9.0,,,7A,FEMININO,2018,PRIVADA PROGRAMA DE APADRINHAMENTO,2006,0.0,17,
33,2022,6.0,7.0,-1,4.952,QUARTZO,5.0,4.8,4.6,0.0,7.5,,6.0,9.0,1.6,3.7,NAO,NAO,A,FEMININO,2020,ESCOLA PUBLICA,2005,-1.0,17,
34,2022,6.0,7.0,-1,6.259,AGATA,5.0,3.8,4.8,9.6,8.1,,7.278,4.7,4.0,2.8,NAO,NAO,A,MASCULINO,2016,REDE DECISAO,2005,-1.0,17,0.0
34,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,MASCULINO,2016,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,
35,2022,6.0,7.0,-1,8.965,TOPAZIO,5.0,8.5,9.6,10.0,9.4,,10.0,9.0,7.1,9.3,NAO,SIM,A,FEMININO,2019,REDE DECISAO,2005,-1.0,17,0.0
35,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2019,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
35,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
36,2022,6.0,7.0,-1,7.876,AMETISTA,5.0,6.8,9.0,9.2,6.9,,8.944,8.5,4.3,7.8,NAO,SIM,A,FEMININO,2019,REDE DECISAO,2005,-1.0,17,0.0
