RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
649,2024,3.0,3.0,0,6.985329691766667,AGATA,10.0,3.6666666666666665,6.004481792666667,8.751,8.76,8.333333333,7.333333333,5.5,4.0,1.5,,,3R,FEMININO,2021,PUBLICA,2010,0.0,14,
650,2022,1.0,2.0,-1,7.004,AGATA,5.0,6.9,8.7,6.9,5.6,,7.5,5.5,8.3,,NAO,NAO,R,FEMININO,2021,ESCOLA PUBLICA,2011,-1.0,11,
651,2022,1.0,2.0,-1,7.866,AMETISTA,5.0,7.8,9.3,8.5,7.5,,8.333,7.7,7.8,,SIM,NAO,R,FEMININO,2022,ESCOLA PUBLICA,2012,-1.0,10,0.0
651,2023,2.0,2.0,0,7.332,AMETISTA,10.0,9.3,8.2,0.0,3.77,8.75,7.95,9.8,8.7,,,,2P,FEMININO,2022,PUBLICA,2012,0.0,11,0.0
651,2024,3.0,2.0,1,8.689300000100001,TOPAZIO,10.0,7.5,10.0,9.168,7.51,8.541666667,8.336666667,10.0,6.0,6.5,,,3K,FEMININO,2022,PUBLICA,2012,1.0,12,
652,2022,1.0,1.0,0,8.151,TOPAZIO,10.0,7.8,9.6,8.0,7.5,,7.5,7.0,8.5,,NAO,NAO,R,FEMININO,2022,ESCOLA PUBLICA,2013,0.0,9,1.0
652,2023,1.0,2.0,-1,7.871033333,AMETISTA,5.0,7.0,9.4,9.0,6.89,8.125,8.446666667,6.2,7.8,,,,1P,FEMININO,2022,PUBLICA,2013,-1.0,10,0.0
652,2024,2.0,2.0,0,7.361896969700001,AMETISTA,10.0,5.5,6.931818182000001,8.002,7.51,7.916666667,7.663333333,4.5,6.5,,,,2P,FEMININO,2022,PUBLICA,2013,0.0,11,
653,2022,1.0,2.0,-1,8.101,TOPAZIO,5.0,9.3,9.6,9.5,7.5,,7.5,9.5,9.0,,NAO,NAO,R,FEMININO,2022,ESCOLA PUBLICA,2011,-1.0,11,1.0
653,2023,2.0,3.0,-1,7.385666667,AMETISTA,5.0,7.9,9.8,0.0,6.27,9.166666667,9.06,7.7,8.0,,,,2P,FEMININO,2022,PUBLICA,2011,-1.0,12,0.0
653,2024,3.0,3.0,0,8.103217647033333,TOPAZIO,10.0,5.166666666666667,9.537254901999999,8.751,8.76,8.333333333,7.89,6.5,4.5,4.5,,,3R,FEMININO,2022,PUBLICA,2011,0.0,13,
654,2022,1.0,3.0,-2,7.308,AMETISTA,5.0,6.8,8.6,8.5,7.5,,7.556,5.5,8.0,,NAO,NAO,R,FEMININO,2022,ESCOLA PUBLICA,2010,-2.0,12,
655,2022,1.0,3.0,-2,7.785,AMETISTA,5.0,8.3,9.2,7.5,7.5,,8.389,8.3,8.2,,SIM,SIM,R,FEMININO,2019,ESCOLA PUBLICA,2010,-2.0,12,1.0
655,2023,2.0,3.0,-1,8.3198,TOPAZIO,5.0,8.3,9.9,7.4,7.52,9.166666667,8.896666667,7.2,9.3,,,,2P,FEMININO,2019,PUBLICA,2010,-1.0,13,0.0
655,2024,3.0,3.0,0,8.238600000066668,TOPAZIO,10.0,6.833333333333333,10.0,7.501,8.76,8.125,7.166666667,8.0,4.0,8.5,,,3R,FEMININO,2021,PUBLICA,2010,0.0,14,
656,2022,1.0,2.0,-1,6.652,AGATA,5.0,6.3,7.5,7.4,5.6,,7.5,5.0,7.5,,NAO,NAO,R,FEMININO,2020,ESCOLA PUBLICA,2011,-1.0,11,1.0
656,2023,2.0,3.0,-1,6.780833333,AGATA,5.0,7.3,8.9,0.0,7.52,8.541666667,7.173333333,5.8,8.8,,,,2P,FEMININO,2020,PUBLICA,2011,-1.0,12,0.0
656,2024,3.0,3.0,0,6.668152941266667,AGATA,10.0,4.166666666666667,5.978431372666667,9.168,7.51,7.5,6.106666667,5.0,3.5,4.0,,,3R,FEMININO,2021,PUBLICA,2011,0.0,13,
657,2022,1.0,3.0,-2,8.093,TOPAZIO,5.0,9.0,9.8,9.5,7.5,,7.5,9.0,9.0,,NAO,NAO,R,FEMININO,2021,ESCOLA PUBLICA,2010,-2.0,12,1.0
657,2023,2.0,3.0,-1,8.3532,TOPAZIO,5.0,8.2,10.0,8.5,7.52,8.75,8.73,7.0,9.3,,,,2P,FEMININO,2021,PUBLICA,2010,-1.0,13,0.0
657,2024,3.0,3.0,0,8.207433333400001,TOPAZIO,10.0,7.5,9.6,8.751,6.885,8.125,7.056666667,8.0,4.5,10.0,,,3R,FEMININO,2021,PUBLICA,2010,0.0,14,
658,2022,1.0,2.0,-1,7.407,AMETISTA,5.0,5.6,9.3,10.0,7.5,,7.917,4.7,6.5,,NAO,NAO,U,FEMININO,2022,ESCOLA PUBLICA,2012,-1.0,10,0.0
658,2023,2.0,2.0,0,8.438533333,TOPAZIO,10.0,6.1,9.5,9.5,7.52,7.916666667,9.173333333,5.3,6.8,,,,2U,FEMININO,2022,PUBLICA,2012,0.0,11,0.0
658,2024,3.0,2.0,1,7.507033333333333,AMETISTA,10.0,3.6666666666666665,10.0,8.751,8.135,7.375,6.738,5.5,2.5,3.0,,,3M,FEMININO,2022,PUBLICA,2012,1.0,12,
659,2022,1.0,2.0,-1,7.783,AMETISTA,5.0,9.3,7.8,8.0,7.5,,8.333,9.5,9.0,,NAO,NAO,U,FEMININO,2022,ESCOLA PUBLICA,2012,-1.0,10,
660,2022,1.0,1.0,0,8.363,TOPAZIO,10.0,6.9,9.0,9.5,7.5,,9.083,5.8,8.0,,NAO,SIM,U,FEMININO,2021,ESCOLA PUBLICA,2013,0.0,9,
661,2022,1.0,2.0,-1,7.593,AMETISTA,5.0,7.8,8.3,9.0,7.5,,7.917,8.3,7.3,,NAO,NAO,U,MASCULINO,2022,ESCOLA PUBLICA,2011,-1.0,11,0.0
661,2023,2.0,2.0,0,6.846333333,AGATA,10.0,6.5,7.7,0.0,6.89,7.5,7.836666667,4.3,8.7,,,,2M,MASCULINO,2022,PUBLICA,2011,0.0,12,
662,2022,1.0,2.0,-1,7.044,AMETISTA,5.0,6.8,8.8,9.0,7.5,,6.083,5.7,7.8,,NAO,NAO,U,FEMININO,2022,ESCOLA PUBLICA,2011,-1.0,11,1.0
662,2023,2.0,3.0,-1,6.733566667,AGATA,5.0,6.7,7.6,6.8,6.27,7.291666667,6.72,4.3,9.0,,,,2U,FEMININO,2022,PUBLICA,2011,-1.0,12,0.0
662,2024,3.0,3.0,0,7.1074778554666675,AMETISTA,10.0,4.166666666666667,7.6107226106666666,7.917,7.51,7.625,7.234,4.5,5.0,3.0,,,3M,FEMININO,2022,PUBLICA,2011,0.0,13,
663,2022,1.0,2.0,-1,6.376,AGATA,5.0,5.8,8.7,6.9,7.5,,5.25,5.0,6.5,,NAO,NAO,U,MASCULINO,2022,ESCOLA PUBLICA,2012,-1.0,10,1.0
663,2023,1.0,2.0,-1,6.969133333,AGATA,5.0,7.0,7.4,6.9,7.52,6.666666667,7.393333333,6.7,7.3,,,,1L,MASCULINO,2022,PUBLICA,2012,-1.0,11,1.0
663,2024,2.0,3.0,-1,6.696419461700001,AGATA,5.0,6.5,7.0910973085,8.502,5.625,6.875,6.89,6.0,7.0,,,,2L,MASCULINO,2022,PUBLICA,2012,-1.0,12,
664,2022,1.0,2.0,-1,7.277,AMETISTA,5.0,6.3,8.8,9.5,7.5,,7.167,5.0,7.5,,NAO,NAO,U,FEMININO,2022,ESCOLA PUBLICA,2012,-1.0,10,1.0
664,2023,1.0,2.0,-1,8.0872,TOPAZIO,5.0,8.0,9.6,9.0,7.52,7.916666667,8.116666667,8.0,8.0,,,,1L,FEMININO,2022,PUBLICA,2012,-1.0,11,0.0
664,2024,2.0,2.0,0,7.5017244089,AMETISTA,10.0,5.75,6.7734553775,9.002,7.51,8.125,7.666666667,3.0,8.5,,,,2N,FEMININO,2022,PUBLICA,2012,0.0,12,
665,2022,1.0,2.0,-1,6.996,AGATA,5.0,6.8,7.4,9.0,7.5,,7.25,6.5,7.0,,NAO,NAO,U,FEMININO,2022,ESCOLA PUBLICA,2011,-1.0,11,1.0
665,2023,1.0,2.0,-1,6.185658333,AGATA,5.0,5.2,4.9,9.5,2.52,8.28125,8.226666667,5.0,5.3,,,,1M,FEMININO,2022,PUBLICA,2011,-1.0,12,1.0
665,2024,2.0,3.0,-1,5.698703030200001,QUARTZO,5.0,4.75,5.068181818,8.334,5.63,7.5,5.443333333,3.0,6.5,,,,2M,FEMININO,2022,PUBLICA,2011,-1.0,13,
666,2022,1.0,2.0,-1,7.929,AMETISTA,5.0,7.8,9.1,9.5,7.5,,8.833,8.0,7.5,,NAO,SIM,U,MASCULINO,2022,ESCOLA PUBLICA,2012,-1.0,10,0.0
666,2023,2.0,2.0,0,8.720366667,TOPAZIO,10.0,7.1,9.1,9.5,7.52,8.541666667,9.62,6.7,7.5,,,,2U,MASCULINO,2022,PUBLICA,2012,0.0,11,0.0
666,2024,3.0,3.0,0,8.185838802933334,TOPAZIO,10.0,7.166666666666667,7.881527348,10.002,7.51,7.5,8.375,10.0,5.5,6.0,,,3L,MASCULINO,2022,PUBLICA,2012,0.0,12,
667,2022,1.0,2.0,-1,5.844,QUARTZO,5.0,4.5,5.6,8.5,7.5,,5.833,3.7,5.3,,NAO,NAO,U,MASCULINO,2021,ESCOLA PUBLICA,2011,-1.0,11,1.0
667,2023,2.0,3.0,-1,6.774866667,AGATA,5.0,5.2,6.9,9.0,6.89,7.083333333,7.836666667,3.0,7.3,,,,2U,MASCULINO,2021,PUBLICA,2011,-1.0,12,0.0
667,2024,3.0,3.0,0,7.177130604266668,AMETISTA,10.0,4.666666666666667,7.038986354666666,9.168,7.51,7.75,6.966,5.5,4.5,4.0,,,3M,MASCULINO,2021,PUBLICA,2011,0.0,13,
668,2022,1.0,2.0,-1,4.365,QUARTZO,5.0,2.8,3.3,6.9,7.5,,3.75,2.8,2.8,,NAO,NAO,U,MASCULINO,2022,ESCOLA PUBLICA,2011,-1.0,11,1.0
668,2023,2.0,3.0,-1,6.017933333,AGATA,5.0,3.4,6.3,6.3,7.52,6.875,7.616666667,2.7,4.0,,,,2K,MASCULINO,2022,PUBLICA,2011,-1.0,12,
669,2022,1.0,2.0,-1,7.475,AMETISTA,5.0,6.0,9.7,9.0,7.5,,7.833,5.0,7.0,,NAO,NAO,U,MASCULINO,2022,ESCOLA PUBLICA,2011,-1.0,11,0.0
669,2023,2.0,2.0,0,7.345033333,AMETISTA,10.0,5.0,7.8,8.5,7.52,7.708333333,7.06,3.3,6.7,,,,2U,MASCULINO,2022,PUBLICA,2011,0.0,12,0.0
669,2024,3.0,3.0,0,6.6438703703,AGATA,10.0,5.333333333333333,4.851851851666666,7.5,7.51,7.291666667,6.883333333,5.0,6.0,5.0,,,3K,MASCULINO,2022,PUBLICA,2011,0.0,13,
670,2022,1.0,2.0,-1,7.451,AMETISTA,5.0,6.9,8.8,8.0,7.5,,8.167,6.5,7.3,,NAO,NAO,U,FEMININO,2022,ESCOLA PUBLICA,2012,-1.0,10,0.0
670,2023,2.0,2.0,0,8.6067,TOPAZIO,10.0,7.0,8.7,9.5,7.52,8.958333333,9.343333333,5.8,8.2,,,,2U,FEMININO,2022,PUBLICA,2012,0.0,11,0.0
670,2024,3.0,2.0,1,8.8602539683,TOPAZIO,10.0,8.666666666666666,9.441269841333334,9.585,7.51,8.958333333,8.166666667,9.0,7.0,10.0,,,3U,FEMININO,2022,PRIVADA PROGRAMA DE APADRINHAMENTO,2012,1.0,12,
671,2022,0.0,1.0,-1,7.617,AMETISTA,5.0,8.8,8.2,8.5,8.1,,7.417,8.8,8.8,,NAO,NAO,A,MASCULINO,2021,ESCOLA PUBLICA,2013,-1.0,9,1.0
671,2023,0.0,2.0,-2,6.5143,AGATA,5.0,7.8,8.3,7.9,3.14,5.625,5.68,8.0,7.5,,,,ALFA G G2G3,MASCULINO,2021,PUBLICA,2013,-2.0,10,
672,2022,0.0,1.0,-1,7.48,AMETISTA,5.0,8.8,8.5,8.5,8.1,,6.75,8.5,9.1,,NAO,NAO,A,FEMININO,2021,ESCOLA PUBLICA,2013,-1.0,9,1.0
672,2023,0.0,2.0,-2,6.5623,AGATA,5.0,6.4,9.5,7.9,2.52,5.625,6.43,6.0,6.7,,,,ALFA J G2G3,FEMININO,2021,PUBLICA,2013,-2.0,10,1.0
672,2024,1.0,2.0,-1,4.2118138341,QUARTZO,5.0,0.0,3.9525691700000003,7.918,6.26,6.041666667,4.496666667,0.0,0.0,,,,1H,FEMININO,2021,PUBLICA,2013,-1.0,11,
673,2022,0.0,0.0,0,8.65,TOPAZIO,10.0,9.2,9.2,8.5,8.1,,8.583,9.4,8.9,,SIM,SIM,A,FEMININO,2022,ESCOLA PUBLICA,2014,0.0,8,
674,2022,0.0,0.0,0,7.862,AMETISTA,10.0,8.0,8.7,9.5,8.1,,6.333,8.9,7.0,,NAO,NAO,A,MASCULINO,2022,ESCOLA PUBLICA,2014,0.0,8,1.0
674,2023,0.0,1.0,-1,6.6328,AGATA,5.0,5.2,8.5,7.9,3.77,5.0,8.67,5.3,5.0,,,,ALFA T G2G3,MASCULINO,2022,PUBLICA,2014,-1.0,9,
675,2022,0.0,0.0,0,7.576,AMETISTA,10.0,7.4,6.6,10.0,8.1,,7.083,8.8,5.9,,SIM,NAO,A,MASCULINO,2022,ESCOLA PUBLICA,2014,0.0,8,0.0
675,2023,0.0,0.0,0,8.3577,TOPAZIO,10.0,8.3,8.0,10.0,7.52,6.875,8.34,8.5,8.0,,,,ALFA D G2G3,MASCULINO,2022,PUBLICA,2014,0.0,9,
676,2022,0.0,1.0,-1,7.911,AMETISTA,5.0,9.3,8.6,8.5,8.1,,8.167,9.5,9.1,,SIM,NAO,A,MASCULINO,2021,ESCOLA PUBLICA,2013,-1.0,9,
677,2022,0.0,0.0,0,8.358,TOPAZIO,10.0,7.3,9.4,10.0,7.5,,8.583,7.7,6.8,,NAO,SIM,B,FEMININO,2021,ESCOLA PUBLICA,2014,0.0,8,1.0
677,2023,0.0,1.0,-1,8.5257,TOPAZIO,5.0,8.7,8.2,10.0,10.0,6.875,9.84,9.0,8.3,,,,ALFA T G2G3,FEMININO,2021,PUBLICA,2014,-1.0,9,
678,2022,0.0,1.0,-1,8.0,AMETISTA,5.0,7.3,10.0,9.0,6.9,,9.5,7.5,7.0,,NAO,SIM,B,MASCULINO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
678,2023,1.0,2.0,-1,7.570158333,AMETISTA,5.0,7.3,8.8,8.0,6.27,7.65625,8.336666667,6.8,7.7,,,,1B,MASCULINO,2022,PUBLICA,2013,-1.0,10,
679,2022,0.0,2.0,-2,7.172,AMETISTA,5.0,6.3,8.2,9.0,7.5,,7.833,6.7,5.8,,NAO,NAO,B,MASCULINO,2020,ESCOLA PUBLICA,2012,-2.0,10,1.0
679,2023,1.0,2.0,-1,6.138366667,AGATA,5.0,3.6,7.5,7.5,5.02,6.875,7.393333333,2.0,5.2,,,,1J,MASCULINO,2020,PUBLICA,2012,-1.0,11,
680,2022,0.0,2.0,-2,7.518,AMETISTA,5.0,7.4,8.8,9.5,7.5,,7.75,8.0,6.8,,NAO,NAO,B,FEMININO,2019,ESCOLA PUBLICA,2012,-2.0,10,1.0
680,2023,1.0,2.0,-1,6.5855,AGATA,5.0,6.4,9.1,0.0,7.52,6.875,7.78,5.2,7.5,,,,1B,FEMININO,2019,PUBLICA,2012,-1.0,11,1.0
680,2024,2.0,3.0,-1,4.9800714287000005,QUARTZO,5.0,3.0,6.6428571430000005,0.0,5.635,6.666666667,6.606666667,2.5,3.5,,,,2A,FEMININO,2021,PUBLICA,2012,-1.0,12,
681,2022,0.0,2.0,-2,7.204,AMETISTA,5.0,6.5,8.5,8.5,6.9,,8.0,6.5,6.5,,NAO,NAO,B,MASCULINO,2022,ESCOLA PUBLICA,2012,-2.0,10,1.0
681,2023,0.0,2.0,-2,6.2955,AGATA,5.0,8.3,7.8,0.0,3.77,5.625,8.18,8.8,7.8,,,,ALFA E G2G3,MASCULINO,2022,PUBLICA,2012,-2.0,11,1.0
681,2024,1.0,2.0,-1,6.0398818182000005,AGATA,5.0,2.5,7.840909091,9.502,6.26,5.625,6.665,5.0,0.0,,,,1C,MASCULINO,2022,PRIVADA,2012,-1.0,12,
682,2022,0.0,2.0,-2,7.625,AMETISTA,5.0,7.0,9.1,9.5,7.5,,8.083,7.0,7.0,,NAO,NAO,B,MASCULINO,2022,ESCOLA PUBLICA,2011,-2.0,11,
683,2022,0.0,2.0,-2,6.011,AGATA,5.0,4.0,5.0,7.9,7.5,,8.083,8.0,0.0,,NAO,NAO,C,MASCULINO,2022,ESCOLA PUBLICA,2012,-2.0,10,
684,2022,0.0,0.0,0,8.26,TOPAZIO,10.0,9.3,7.5,9.5,8.1,,7.917,9.0,9.6,,NAO,NAO,C,MASCULINO,2022,ESCOLA PUBLICA,2015,0.0,7,0.0
684,2023,0.0,0.0,0,7.4277,AMETISTA,10.0,6.5,8.1,9.0,7.52,6.875,5.84,8.3,4.7,,,,ALFA D G2G3,MASCULINO,2022,PRIVADA,2015,0.0,8,0.0
684,2024,1.0,1.0,0,7.769381818200001,AMETISTA,10.0,4.25,9.090909091,10.002,7.51,7.5,8.0,2.5,6.0,,,,1C,MASCULINO,2022,PRIVADA,2015,0.0,9,
685,2022,0.0,1.0,-1,6.864,AGATA,5.0,8.0,6.2,9.0,5.0,,7.833,8.0,8.0,,NAO,NAO,C,MASCULINO,2022,ESCOLA PUBLICA,2013,-1.0,9,
686,2022,0.0,1.0,-1,7.729,AMETISTA,5.0,8.8,8.6,7.5,8.1,,8.083,9.2,8.5,,NAO,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
686,2023,1.0,2.0,-1,7.9642,AMETISTA,5.0,8.0,9.0,8.5,7.52,7.5,8.56,7.3,8.7,,,,1C,FEMININO,2022,PUBLICA,2013,-1.0,10,0.0
686,2024,2.0,2.0,0,8.040259523700001,TOPAZIO,10.0,7.25,8.7857142855,8.002,6.885,8.4375,7.503333333,5.0,9.5,,,,2C,FEMININO,2022,PUBLICA,2013,0.0,11,
687,2022,0.0,1.0,-1,7.703,AMETISTA,5.0,8.3,9.0,8.5,8.1,,8.0,9.0,7.5,,NAO,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
687,2023,1.0,2.0,-1,7.617533333,AMETISTA,5.0,6.9,9.0,8.0,7.52,7.5,8.226666667,6.7,7.0,,,,1A,MASCULINO,2022,PUBLICA,2013,-1.0,10,0.0
687,2024,2.0,2.0,0,8.2739844611,TOPAZIO,10.0,7.25,9.2355889725,7.502,7.51,8.75,8.003333333,6.5,8.0,,,,2D,MASCULINO,2022,PUBLICA,2013,0.0,11,
688,2022,0.0,1.0,-1,7.771,AMETISTA,5.0,7.9,9.7,8.5,7.5,,7.917,8.0,7.8,,NAO,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
688,2023,1.0,2.0,-1,8.0442,TOPAZIO,5.0,8.6,9.3,8.5,7.52,7.5,8.06,8.2,9.0,,,,1A,MASCULINO,2022,PUBLICA,2013,-1.0,10,0.0
688,2024,2.0,2.0,0,8.986533333300002,TOPAZIO,10.0,7.5,10.0,9.502,8.13,8.333333333,9.45,6.0,9.0,,,,2B,MASCULINO,2022,PUBLICA,2013,0.0,11,
689,2022,0.0,1.0,-1,6.433,AGATA,5.0,5.8,7.9,7.4,5.6,,6.667,6.0,5.5,,NAO,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2013,-1.0,9,
690,2022,0.0,1.0,-1,7.541,AMETISTA,5.0,7.0,9.5,9.5,7.5,,7.417,7.2,6.8,,NAO,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
690,2023,0.0,2.0,-2,8.6112,TOPAZIO,5.0,9.1,9.8,9.0,6.89,7.5,10.01,9.3,8.8,,,,ALFA D G2G3,FEMININO,2022,PUBLICA,2013,-2.0,10,1.0
690,2024,1.0,2.0,-1,7.3853681818000005,AMETISTA,5.0,6.25,8.409090909,7.918,7.51,8.4375,7.835,7.5,5.0,,,,1E,FEMININO,2022,PUBLICA,2013,-1.0,11,
691,2022,0.0,0.0,0,8.68,TOPAZIO,10.0,9.4,9.2,10.0,8.1,,7.917,9.6,9.3,,NAO,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2014,0.0,8,
692,2022,0.0,1.0,-1,7.569,AMETISTA,5.0,6.9,8.9,9.5,8.1,,7.917,7.0,6.8,,NAO,NAO,D,FEMININO,2021,ESCOLA PUBLICA,2013,-1.0,9,1.0
692,2023,1.0,2.0,-1,6.588466667,AGATA,5.0,4.6,7.7,7.4,7.52,6.666666667,7.39,2.8,6.3,,,,1C,FEMININO,2021,PRIVADA,2013,-1.0,10,
693,2022,0.0,0.0,0,7.944,AMETISTA,10.0,5.7,9.8,9.5,8.1,,7.667,5.0,6.3,,NAO,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2015,0.0,7,0.0
693,2023,0.0,0.0,0,9.0112,TOPAZIO,10.0,8.5,9.4,10.0,6.89,7.5,10.01,8.2,8.7,,,,ALFA D G2G3,FEMININO,2022,PUBLICA,2015,0.0,8,0.0
693,2024,1.0,1.0,0,8.9079954545,TOPAZIO,10.0,8.0,9.5227272725,10.002,9.38,7.8125,8.42,8.0,8.0,,,,1C,FEMININO,2022,PUBLICA,2015,0.0,9,
694,2022,0.0,0.0,0,8.378,TOPAZIO,10.0,8.1,9.0,10.0,8.1,,7.917,8.2,8.0,,NAO,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2014,0.0,8,
695,2022,0.0,0.0,0,4.28,QUARTZO,10.0,2.5,3.1,9.0,7.5,,2.5,2.2,2.8,,NAO,NAO,E,FEMININO,2021,ESCOLA PUBLICA,2014,0.0,8,
696,2022,0.0,1.0,-1,7.441,AMETISTA,5.0,6.6,9.0,8.5,7.5,,8.167,6.5,6.7,,NAO,NAO,E,FEMININO,2021,ESCOLA PUBLICA,2013,-1.0,9,0.0
696,2023,1.0,1.0,0,7.172666667,AMETISTA,10.0,6.7,9.4,0.0,5.02,7.5,8.503333333,5.2,8.2,,,,1A,FEMININO,2021,PUBLICA,2013,0.0,10,0.0
696,2024,2.0,2.0,0,7.482680952299999,AMETISTA,10.0,5.25,7.845238095,7.418,7.51,7.708333333,8.0,5.0,5.5,,,,2B,FEMININO,2021,PUBLICA,2013,0.0,11,
697,2022,0.0,2.0,-2,7.675,AMETISTA,5.0,8.4,9.3,7.0,7.5,,8.083,8.8,8.0,,NAO,NAO,E,MASCULINO,2021,ESCOLA PUBLICA,2011,-2.0,11,
698,2022,0.0,1.0,-1,7.44,AMETISTA,5.0,8.1,9.8,9.0,2.5,,8.083,8.0,8.2,,NAO,NAO,E,MASCULINO,2021,ESCOLA PUBLICA,2013,-1.0,9,0.0
698,2023,1.0,1.0,0,7.553616667,AMETISTA,10.0,5.7,9.9,8.5,2.52,7.1875,8.113333333,4.3,7.0,,,,1B,MASCULINO,2021,PUBLICA,2013,0.0,10,0.0
698,2024,2.0,2.0,0,7.3363190476,AMETISTA,10.0,4.5,8.3214285715,9.002,6.88,7.291666667,7.273333333,3.0,6.0,,,,2A,MASCULINO,2021,PUBLICA,2013,0.0,11,
699,2022,0.0,1.0,-1,6.658,AGATA,5.0,7.1,9.2,5.2,7.5,,6.0,7.5,6.7,,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
699,2023,1.0,2.0,-1,6.389991667,AGATA,5.0,6.0,8.3,8.5,3.77,5.78125,6.173333333,5.7,6.2,,,,1A,MASCULINO,2022,PUBLICA,2013,-1.0,10,1.0
699,2024,1.0,2.0,-1,6.427771212000001,AGATA,5.0,6.5,7.727272727000001,6.334,6.26,6.5625,5.833333333,7.0,6.0,,,,1A,MASCULINO,2022,PUBLICA,2013,-1.0,11,
700,2022,0.0,1.0,-1,7.738,AMETISTA,5.0,9.2,8.7,9.0,7.5,,7.083,9.2,9.2,,NAO,NAO,F,FEMININO,2022,ESCOLA PUBLICA,2013,-1.0,9,1.0
700,2023,0.0,1.0,-1,8.2852,TOPAZIO,5.0,7.8,9.7,9.5,7.52,6.25,9.84,7.5,8.0,,,,ALFA J G2G3,FEMININO,2022,PUBLICA,2013,-1.0,10,1.0
700,2024,1.0,2.0,-1,7.005745454500001,AMETISTA,5.0,5.25,9.564393939,8.502,5.635,7.291666667,7.0,5.0,5.5,,,,1G,FEMININO,2022,PUBLICA,2013,-1.0,11,
701,2022,0.0,2.0,-2,7.755,AMETISTA,5.0,8.7,9.3,9.0,7.5,,7.417,8.7,8.7,,NAO,NAO,F,MASCULINO,2021,ESCOLA PUBLICA,2012,-2.0,10,1.0
701,2023,0.0,2.0,-2,7.3982,AMETISTA,5.0,7.2,9.9,9.5,3.77,6.25,7.68,7.3,7.0,,,,ALFA J G2G3,MASCULINO,2021,PUBLICA,2012,-2.0,11,
702,2022,0.0,0.0,0,7.387,AMETISTA,10.0,6.8,8.6,10.0,5.0,,7.0,7.0,6.7,,NAO,NAO,F,FEMININO,2022,ESCOLA PUBLICA,2014,0.0,8,1.0
702,2023,0.0,1.0,-1,8.239866667,TOPAZIO,5.0,9.3,10.0,10.0,5.63,7.5,7.833333333,9.3,9.3,,,,ALFA F G0G1,FEMININO,2022,PUBLICA,2014,-1.0,9,1.0
702,2024,0.0,2.0,-2,7.665116666600001,AMETISTA,5.0,9.25,9.75,9.002,2.51,7.8125,7.163333333,10.0,8.5,,,,ALFA G G2G3,FEMININO,2022,PUBLICA,2014,-2.0,10,
703,2022,0.0,2.0,-2,6.099,AGATA,5.0,5.1,7.4,7.5,5.0,,6.833,5.3,4.8,,NAO,NAO,F,MASCULINO,2021,ESCOLA PUBLICA,2012,-2.0,10,1.0
703,2023,0.0,2.0,-2,6.2737,AGATA,5.0,4.6,8.4,9.5,3.14,6.875,6.16,4.8,4.3,,,,ALFA T G2G3,MASCULINO,2021,PUBLICA,2012,-2.0,11,
704,2022,0.0,2.0,-2,6.741,AGATA,5.0,7.2,8.6,9.0,5.0,,6.583,7.7,6.6,,NAO,NAO,F,MASCULINO,2022,ESCOLA PUBLICA,2012,-2.0,10,1.0
704,2023,0.0,2.0,-2,6.8297,AGATA,5.0,6.1,9.9,10.0,3.14,5.625,6.265,6.5,5.7,,,,ALFA J G2G3,MASCULINO,2022,PUBLICA,2012,-2.0,11,1.0
704,2024,1.0,2.0,-1,6.8121156785000005,AGATA,5.0,6.5,8.646245059,7.502,5.635,6.458333333,6.616666667,6.0,7.0,,,,1H,MASCULINO,2022,PUBLICA,2012,-1.0,12,
705,2022,0.0,2.0,-2,6.634,AGATA,5.0,7.1,6.2,9.5,7.5,,6.333,7.0,7.2,,NAO,NAO,F,MASCULINO,2022,ESCOLA PUBLICA,2012,-2.0,10,1.0
705,2023,0.0,2.0,-2,6.982,AGATA,5.0,8.8,8.3,0.0,6.89,7.5,8.165,8.9,8.6,,,,ALFA V G0G1,MASCULINO,2022,PUBLICA,2012,-2.0,11,1.0
705,2024,1.0,2.0,-1,5.294247619100001,QUARTZO,5.0,3.5,6.4285714285,9.002,5.005,5.625,4.226666667,2.0,5.0,,,,1H,MASCULINO,2022,PUBLICA,2012,-1.0,12,
